,corpus_id,sentences
0,0,"as if i asked a common alms,"
1,0,and in my wondering hand
2,0,"a stranger pressed a kingdom,"
3,0,"and i, bewildered, stand—"
4,0,as if i asked the orient
5,0,had it for me a morn—
6,0,"and it should lift its purple dikes,"
7,0,and shatter me with dawn!
8,1,it always felt to me—a wrong
9,1,to that old moses—done—
10,1,to let him see—the canaan—
11,1,without the entering—
12,1,and tho' in soberer moments—
13,1,no moses there can be
14,1,i'm satisfied—the romance
15,1,in point of injury—
16,1,surpasses sharper stated—
17,1,of stephen—or of paul—
18,1,for these—were only put to death—
19,1,while god's adroiter will
20,1,on moses—seemed to fasten
21,1,with tantalizing play
22,1,as boy—should deal with lesser boy—
23,1,to prove ability.
24,1,the fault—was doubtless israel's—
25,1,myself—had banned the tribes—
26,1,and ushered grand old moses
27,1,in pentateuchal robes
28,1,upon the broad possession
29,1,'twas little—but titled him—to see—
30,1,old man on nebo! late as this—
31,1,my justice bleeds—for thee!
32,2,me from myself—to banish—
33,2,had i art—
34,2,impregnable my fortress
35,2,unto all heart—
36,2,but since myself—assault me—
37,2,how have i peace
38,2,except by subjugating
39,2,consciousness?
40,2,and since we're mutual monarch
41,2,how this be
42,2,except by abdication—
43,2,me—of me?
44,3,my faith is larger than the hills—
45,3,so when the hills decay—
46,3,my faith must take the purple wheel
47,3,to show the sun the way—
48,3,'tis first he steps upon the vane—
49,3,and then—upon the hill—
50,3,and then abroad the world he go
51,3,to do his golden will—
52,3,and if his yellow feet should miss—
53,3,the bird would not arise—
54,3,the flowers would slumber on their stems—
55,3,no bells have paradise—
56,3,"how dare i, therefore, stint a faith"
57,3,on which so vast depends—
58,3,lest firmament should fail for me—
59,3,the rivet in the bands
60,4,no romance sold unto
61,4,could so enthrall a man
62,4,as the perusal of
63,4,his individual one—
64,4,'tis fiction's—when 'tis small enough
65,4,to credit—'tisn't true!
66,5,"she rose to his requirement, dropped"
67,5,the playthings of her life
68,5,to take the honorable work
69,5,of woman and of wife.
70,5,if aught she missed in her new day
71,5,"of amplitude, or awe,"
72,5,"or first prospective, or the gold"
73,5,"in using wore away,"
74,5,"it lay unmentioned, as the sea"
75,5,"develops pearl and weed,"
76,5,but only to himself is known
77,5,the fathoms they abide.
78,6,we talked as girls do—
79,6,"fond, and late—"
80,6,"we speculated fair, on every subject, but the grave—"
81,6,"of ours, none affair—"
82,6,"we handled destinies, as cool—"
83,6,as we—disposers—be—
84,6,"and god, a quiet party"
85,6,to our authority—
86,6,"but fondest, dwelt upon ourself"
87,6,as we eventual—be—
88,6,"when girls to women, softly raised"
89,6,we—occupy—degree—
90,6,we parted with a contract
91,6,"to cherish, and to write"
92,6,"but heaven made both, impossible"
93,6,before another night.
94,7,'tis anguish grander than delight
95,7,'tis resurrection pain—
96,7,the meeting bands of smitten face
97,7,"we questioned to, again."
98,7,'tis transport wild as thrills the graves
99,7,when cerements let go
100,7,and creatures clad in miracle
101,7,go up by two and two.
102,8,'tis customary as we part
103,8,a trinket—to confer—
104,8,it helps to stimulate the faith
105,8,when lovers be afar—
106,8,'tis various—as the various taste—
107,8,clematis—journeying far—
108,8,presents me with a single curl
109,8,of her electric hair—
110,9,'tis little i—could care for pearls—
111,9,who own the ample sea—
112,9,or brooches—when the emperor—
113,9,with rubies—pelteth me—
114,9,or gold—who am the prince of mines—
115,9,or diamonds—when have i
116,9,a diadem to fit a dom—
117,9,continual upon me—
118,10,'tis not that dying hurts us so—
119,10,'tis living—hurts us more—
120,10,but dying—is a different way—
121,10,a kind behind the door—
122,10,the southern custom—of the bird—
123,10,that ere the frosts are due—
124,10,accepts a better latitude—
125,10,we—are the birds—that stay.
126,10,the shrivers round farmers' doors—
127,10,for whose reluctant crumb—
128,10,we stipulate—till pitying snows
129,10,persuade our feathers home.
130,11,'tis one by one—the father counts—
131,11,and then a tract between
132,11,set cypherless—to teach the eye
133,11,the value of its ten—
134,11,until the peevish student
135,11,acquire the quick of skill—
136,11,then numerals are dowered back—
137,11,adorning all the rule—
138,11,'tis mostly slate and pencil—
139,11,and darkness on the school
140,11,distracts the children's fingers—
141,11,still the eternal rule
142,11,regards least cypherer alike
143,11,with leader of the band—
144,11,and every separate urchin's sum—
145,11,is fashioned for his hand—
146,12,'tis opposites—entice—
147,12,deformed men—ponder grace—
148,12,bright fires—the blanketless—
149,12,the lost—day's face—
150,12,the blind—esteem it be
151,12,enough estate—to see—
152,12,the captive—strangles new—
153,12,for deeming—beggars—play—
154,12,to lack—enamor thee—
155,12,tho' the divinity—
156,12,be only
157,12,me—
158,13,'tis so appalling—it exhilarates—
159,13,"so over horror, it half captivates—"
160,13,"the soul stares after it, secure—"
161,13,"a sepulchre, fears frost, no more—"
162,13,"to scan a ghost, is faint—"
163,13,"but grappling, conquers it—"
164,13,"how easy, torment, now—"
165,13,suspense kept sawing so—
166,13,"the truth, is bald, and cold—"
167,13,but that will hold—
168,13,if any are not sure—
169,13,we show them—prayer—
170,13,"but we, who know,"
171,13,"stop hoping, now—"
172,13,"looking at death, is dying—"
173,13,just let go the breath—
174,13,and not the pillow at your cheek
175,13,so slumbereth—
176,13,"others, can wrestle—"
177,13,"yours, is done—"
178,13,"and so of woe, bleak dreaded—come,"
179,13,it sets the fright at liberty—
180,13,and terror's free—
181,13,"gay, ghastly, holiday!"
182,14,'tis so much joy! 'tis so much joy!
183,14,"if i should fail, what poverty!"
184,14,"and yet, as poor as i,"
185,14,have ventured all upon a throw!
186,14,have gained! yes! hesitated so—
187,14,this side the victory!
188,14,"life is but life! and death, but death!"
189,14,"bliss is, but bliss, and breath but breath!"
190,14,"and if indeed i fail,"
191,14,"at least, to know the worst, is sweet!"
192,14,"defeat means nothing but defeat,"
193,14,"no drearier, can befall!"
194,14,and if i gain! oh gun at sea!
195,14,"oh bells, that in the steeples be!"
