,corpus_id,sentences
0,0,"you say that father write a lot of books, but what he writes i don't"
1,0,understand.
2,0,"    he was reading to you all evening, but could you really"
3,0,make out what he meant?
4,0,"    what nice stores, mother, you can tell us! why can't father"
5,0,"write like that, i wonder?"
6,0,    did he never hear from his own mother stories of giants and
7,0,fairies and princesses?
8,0,    has he forgotten them all?
9,0,    often when he gets late for his bath you have to call him
10,0,a hundred times.
11,0,"    you wait and keep his dishes warm for him, but he goes on"
12,0,writing and forgets.
13,0,    father always plays at making books.
14,0,"    if ever i go to play in father's room, you come and call me,"
15,0,"""what a naughty child!"""
16,0,"    if i make the slightest noise you say, ""don't you see that"
17,0,"father's at his work?"""
18,0,    what's the fun of always writing and writing?
19,0,    when i take up father's pen or pencil and write upon his book
20,0,"just as he does,-a,b,c,d,e,f,g,h,i,-why do you get cross with me"
21,0,"then, mother?"
22,0,    you never say a word when father writes.
23,0,"    when my father wastes such heaps of paper, mother, you don't"
24,0,seem to mind at all.
25,0,"    but if i take only one sheet to make a boat with, you say,"
26,0,"""child, how troublesome you are!"""
27,0,    what do you think of father's spoiling sheets and sheets of
28,0,paper with black marks all over both sides?
29,1,"if baby only wanted to, he could fly up to heaven this moment."
30,1,    it is not for nothing that he does not leave us.
31,1,"    he loves to rest his head on mother's bosom, and cannot ever"
32,1,bear to lose sight of her.
33,1,"    baby know all manner of wise words, though few on earth can"
34,1,understand their meaning.
35,1,    it is not for nothing that he never wants to speak.
36,1,    the one thing he wants is to learn mother's words from
37,1,mother's lips. that is why he looks so innocent.
38,1,"    baby had a heap of gold and pearls, yet he came like a beggar"
39,1,on to this earth.
40,1,    it is not for nothing he came in such a disguise.
41,1,    this dear little naked mendicant pretends to be utterly
42,1,"helpless, so that he may beg for mother's wealth of love."
43,1,    baby was so free from every tie in the land of the tiny
44,1,crescent moon.
45,1,    it was not for nothing he gave up his freedom.
46,1,    he knows that there is room for endless joy in mother's little
47,1,"corner of a heart, and it is sweeter far than liberty to be caught"
48,1,and pressed in her dear arms.
49,1,    baby never knew how to cry. he dwelt in the land of perfect
50,1,bliss.
51,1,    it is not for nothing he has chosen to shed tears.
52,1,    though with the smile of his dear face he draws mother's
53,1,"yearning heart to him, yet his little cries over tiny troubles"
54,1,weave the double bond of pity and love.
55,2,i wish i could take a quiet corner in the heart of my baby's very
56,2,own world.
57,2,"    i know it has stars that talk to him, and a sky that stoops"
58,2,down to his face to amuse him with its silly clouds and rainbows.
59,2,"    those who make believe to be dumb, and look as if they never"
60,2,"could move, come creeping to his window with their stories and with"
61,2,trays crowded with bright toys.
62,2,"    i wish i could travel by the road that crosses baby's mind,"
63,2,and out beyond all bounds;
64,2,    where messengers run errands for no cause between the kingdoms
65,2,of kings of no history;
66,2,"    where reason makes kites of her laws and flies them, the truth"
67,2,sets fact free from its fetters.
68,3,"when the heart is hard and parched up,"
69,3,come upon me with a shower of mercy.
70,3,"when grace is lost from life,"
71,3,come with a burst of song.
72,3,when tumultuous work raises its din on all sides shutting me out from
73,3,"beyond, come to me, my lord of silence, with thy peace and rest."
74,3,"when my beggarly heart sits crouched, shut up in a corner,"
75,3,"break open the door, my king, and come with the ceremony of a king."
76,3,"when desire blinds the mind with delusion and dust, o thou holy one,"
77,3,"thou wakeful, come with thy light and thy thunder."
78,4,"bless this little heart, this white soul that has won the kiss of"
79,4,heaven for our earth.
80,4,"    he loves the light of the sun, he loves the sight of his"
81,4,mother's face.
82,4,"    he has not learned to despise the dust, and to hanker after"
83,4,gold.
84,4,    clasp him to your heart and bless him.
85,4,    he has come into this land of an hundred cross-roads.
86,4,"    i know not how he chose you from the crowd, came to your door,"
87,4,and grasped you hand to ask his way.
88,4,"    he will follow you, laughing the talking, and not a doubt in"
89,4,his heart.
90,4,"    keep his trust, lead him straight and bless him."
91,4,"    lay your hand on his head, and pray that though the waves"
92,4,"underneath grow threatening, yet the breath from above may come and"
93,4,fill his sails and waft him to the heaven of peace.
94,4,"    forget him not in your hurry, let him come to your heart and"
95,4,bless him.
96,5,in desperate hope i go and search for her
97,5,in all the corners of my room;
98,5,i find her not.
99,5,my house is small
100,5,and what once has gone from it can never be regained.
101,5,"but infinite is thy mansion, my lord,"
102,5,and seeking her i have to come to thy door.
103,5,i stand under the golden canopy of thine evening sky
104,5,and i lift my eager eyes to thy face.
105,5,i have come to the brink of eternity from which nothing can vanish
106,5," no hope, no happiness, no vision of a face seen through tears."
107,5,"oh, dip my emptied life into that ocean,"
108,5,plunge it into the deepest fullness.
109,5,let me for once feel that lost sweet touch
110,5,in the allness of the universe.
111,6,"mother, i shall weave a chain of pearls for thy neck"
112,6,with my tears of sorrow.
113,6,"the stars have wrought their anklets of light to deck thy feet,"
114,6,but mine will hang upon thy breast.
115,6,wealth and fame come from thee
116,6,and it is for thee to give or to withhold them.
117,6,"but this my sorrow is absolutely mine own,"
118,6,and when i bring it to thee as my offering
119,6,thou rewardest me with thy grace.
120,7,i thought that my voyage had come to its end
121,7,"at the last limit of my power, that the path before me was closed,"
122,7,that provisions were exhausted
123,7,and the time come to take shelter in a silent obscurity.
124,7,but i find that thy will knows no end in me.
125,7,"and when old words die out on the tongue,"
126,7,new melodies break forth from the heart;
127,7,"and where the old tracks are lost,"
128,7,new country is revealed with its wonders.
129,8,"mother, the folk who live up in the clouds call out to me-"
130,8,"    ""we play from the time we wake till the day ends."
131,8,"    we play with the golden dawn, we play with the silver moon."""
132,8,"    i ask, ""but how am i to get up to you ?"""
133,8,"    they answer, ""come to the edge of the earth, lift up your"
134,8,"hands to the sky, and you will be taken up into the clouds."""
135,8,"    ""my mother is waiting for me at home, ""i say, ""how can i leave"
136,8,"her and come?"""
137,8,    then they smile and float away.
138,8,"    but i know a nicer game than that, mother."
139,8,    i shall be the cloud and you the moon.
140,8,"    i shall cover you with both my hands, and our house-top will"
141,8,be the blue sky.
142,8,    the folk who live in the waves call out to me-
143,8,"    ""we sing from morning till night; on and on we travel and know"
144,8,"not where we pass."""
145,8,"    i ask, ""but how am i to join you?"""
146,8,"    they tell me, ""come to the edge of the shore and stand with"
147,8,"your eyes tight shut, and you will be carried out upon the waves."""
148,8,"    i say, ""my mother always wants me at home in the everything-"
149,8,"how can i leave her and go?"""
150,8,"    they smile, dance and pass by."
151,8,    but i know a better game than that.
152,8,    i will be the waves and you will be a strange shore.
153,8,"    i shall roll on and on and on, and break upon your lap with"
154,8,laughter.
155,8,    and no one in the world will know where we both are.
156,9,"when i bring to you colored toys, my child,"
157,9,"i understand why there is such a play of colors on clouds, on water,"
158,9,and why flowers are painted in tints
159,9," when i give colored toys to you, my child."
160,9,when i sing to make you dance
161,9,"i truly now why there is music in leaves,"
162,9,and why waves send their chorus of voices to the heart of the listening earth
163,9, when i sing to make you dance.
164,9,when i bring sweet things to your greedy hands
165,9,i know why there is honey in the cup of the flowers
166,9,and why fruits are secretly filled with sweet juice
167,9, when i bring sweet things to your greedy hands.
168,9,"when i kiss your face to make you smile, my darling,"
169,9,"i surely understand what pleasure streams from the sky in morning light,"
170,9,and what delight that is that is which the summer breeze brings to my body
171,9, when i kiss you to make you smile.
172,10,"o thou the last fulfilment of life,"
173,10,"death, my death, come and whisper to me!"
174,10,day after day i have kept watch for thee;
175,10,for thee have i borne the joys and pangs of life.
176,10,"all that i am, that i have, that i hope and all my love"
177,10,have ever flowed towards thee in depth of secrecy.
178,10,one final glance from thine eyes
179,10,and my life will be ever thine own.
180,10,the flowers have been woven
181,10,and the garland is ready for the bridegroom.
182,10,after the wedding the bride shall leave her home
183,10,and meet her lord alone in the solitude of night.
184,11,"where are those tears in your eyes, my child?"
185,11,    how horrid of them to be always scolding you for nothing!
186,11,    you have stained your fingers and face with ink while writing-
187,11,is that why they call you dirty?
188,11,"    o, fie! would they dare to call the full moon dirty because"
189,11,it has smudged its face with ink?
190,11,"    for every little trifle they blame you, my child. they are"
191,11,ready to find fault for nothing.
