,corpus_id,sentences
0,0,"he halted in the wind, and   what was that"
1,0,"far in the maples, pale, but not a ghost?"
2,0,"he stood there bringing march against his thought,"
3,0,and yet too ready to believe the most.
4,0,"""oh, that's the paradise-in-bloom,"" i said;"
5,0,and truly it was fair enough for flowers
6,0,had we but in us to assume in march
7,0,such white luxuriance of may for ours.
8,0,"we stood a moment so in a strange world,"
9,0,myself as one his own pretense deceives;
10,0,and then i said the truth and we moved on.
11,0,a young beech clinging to its last year's leaves.
12,1,part i
13,1,       into my own
14,1,           the youth is persuaded that he will be rather more than less himself
15,1,           for having forsworn the world.
16,1,       ghost house
17,1,           he is happy in society of his choosing.
18,1,       my november guest
19,1,           he is in love with being misunderstood.
20,1,       love and a question
21,1,           he is in doubt whether to admit real trouble to a place beside the
22,1,           hearth with love.
23,1,       a late walk
24,1,           he courts the autumnal mood.
25,1,       stars
26,1,           there is no oversight of human affairs.
27,1,       storm fear
28,1,           he is afraid of his own isolation.
29,1,       wind and window flower
30,1,           out of the winter things he fashions a story of modern love.
31,1,       to the thawing wind audio
32,1,           he calls on change through the violence of the elements.
33,1,       a prayer in spring
34,1,           he discovers that the greatness of love lies not in forward-looking
35,1,           thoughts;
36,1,       flower-gathering
37,1,           nor yet in any spur it may be to ambition.
38,1,       rose pogonias
39,1,           he is no dissenter from the ritualism of nature;
40,1,       asking for roses
41,1,           nor from the ritualism of youth which is make-believe.
42,1,       waiting afield at dusk
43,1,           he arrives at the turn of the year.
44,1,       in a vale
45,1,           out of old longings he fashions a story.
46,1,       a dream pang
47,1,           he is shown by a dream how really well it is with him.
48,1,       in neglect
49,1,           he is scornful of folk his scorn cannot reach.
50,1,       the vantage point
51,1,"           and again scornful, but there is no one hurt."
52,1,       mowing
53,1,           he takes up life simply with the small tasks.
54,1,       going for water
55,1,   part ii
56,1,       revelation
57,1,"           he resolves to become intelligible, at least to himself, since there"
58,1,           is no help else;
59,1,       the trial by existence
60,1,           and to know definitely what he thinks about the soul;
61,1,       in equal sacrifice
62,1,           about love;
63,1,       the tuft of flowers
64,1,           about fellowship;
65,1,       spoils of the dead
66,1,           about death;
67,1,       pan with us
68,1,           about art his own;
69,1,       the demiurge's laugh
70,1,           about science.
71,1,   part iii
72,1,       now close the windows
73,1,           it is time to make an end of speaking.
74,1,       a line-storm song
75,1,           it is the autumnal mood with a difference.
76,1,       october
77,1,           he sees days slipping from him that were the best for what they
78,1,           were.
79,1,       my butterfly
80,1,           there are things that can never be the same.
81,1,       reluctance
82,2,"the farmhouse lingers, though averse to square"
83,2,with the new city street it has to wear
84,2,a number in. but what about the brook
85,2,that held the house as in an elbow-crook?
86,2,"i ask as one who knew the brook, its strength"
87,2,"and impulse, having dipped a finger length"
88,2,"and made it leap my knuckle, having tossed"
89,2,a flower to try its currents where they crossed.
90,2,the meadow grass could be cemented down
91,2,from growing under pavements of a town;
92,2,the apple trees be sent to hearth-stone flame.
93,2,is water wood to serve a brook the same?
94,2,how else dispose of an immortal force
95,2,no longer needed? staunch it at its source
96,2,with cinder loads dumped down? the brook was thrown
97,2,deep in a sewer dungeon under stone
98,2,in fetid darkness still to live and run  
99,2,and all for nothing it had ever done
100,2,except forget to go in fear perhaps.
101,2,no one would know except for ancient maps
102,2,that such a brook ran water. but i wonder
103,2,"if from its being kept forever under,"
104,2,the thoughts may not have risen that so keep
105,2,this new-built city from both work and sleep.
106,3,there sandy seems the golden sky
107,3,and golden seems the sandy plain.
108,3,no habitation meets the eye
109,3,"unless in the horizon rim,"
110,3,"some halfway up the limestone wall,"
111,3,that spot of black is not a stain
112,3,"or shadow, but a cavern hole,"
113,3,where someone used to climb and crawl
114,3,to rest from his besetting fears.
115,3,i see the callus on his soul
116,3,the disappearing last of him
117,3,"and of his race starvation slim,"
118,3,oh years ago - ten thousand years.
119,4,microscopic
120,4,a speck that would have been beneath my sight
121,4,on any but a paper sheet so white
122,4,set off across what i had written there.
123,4,and i had idly poised my pen in air
124,4,to stop it with a period of ink
125,4,"when something strange about it made me think,"
126,4,"this was no dust speck by my breathing blown,"
127,4,but unmistakably a living mite
128,4,with inclinations it could call its own.
129,4,"it paused as with suspicion of my pen,"
130,4,and then came racing wildly on again
131,4,to where my manuscript was not yet dry;
132,4,then paused again and either drank or smelt 
133,4,"with loathing, for again it turned to fly."
134,4,plainly with an intelligence i dealt.
135,4,"it seemed too tiny to have room for feet,"
136,4,yet must have had a set of them complete
137,4,to express how much it didn't want to die.
138,4,it ran with terror and with cunning crept.
139,4,"it faltered, i could see it hesitate;"
140,4,then in the middle of the open sheet
141,4,cower down in desperation to accept
142,4,whatever i accorded it of fate.
143,4,i have none of the tenderer-than-thou
144,4,collectivistic regimenting love
145,4,with which the modern world is being swept.
146,4,but this poor microscopic item now!
147,4,since it was nothing i knew evil of
148,4,i let it lie there till i hope it slept.
149,4,i have a mind myself and recognize
150,4,mind when i meet with it in any guise
151,4,no one can know how glad i am to find
152,4,on any sheet the least display of mind.
153,5,"i had withdrawn in forest, and my song"
154,5,was swallowed up in leaves that blew alway;
155,5,and to the forest edge you came one day
156,5,"this was my dream and looked and pondered long,"
157,5,"but did not enter, though the wish was strong,"
158,5,"you shook your pensive head as who should say,"
159,5,‘i dare not too far in his footsteps stray 
160,5,he must seek me would he undo the wrong.
161,5,"not far, but near, i stood and saw it all"
162,5,behind low boughs the trees let down outside;
163,5,and the sweet pang it cost me not to call
164,5,and tell you that i saw does still abide.
165,5,"but 'tis not true that thus i dwelt aloof,"
166,5,"for the wood wakes, and you are here for proof."
167,6,"when i go up through the mowing field,"
168,6,"the headless aftermath,"
169,6,"   smooth-laid like thatch with the heavy dew,"
170,6, half closes the garden path.
171,6,"   and when i come to the garden ground,"
172,6,the whir of sober birds
173,6, up from the tangle of withered weeds
174,6, is sadder than any words
175,6,"a tree beside the wall stands bare,"
176,6," but a leaf that lingered brown,"
177,6,"   disturbed, i doubt not, by my thought,"
178,6, comes softly rattling down.
179,6, i end not far from my going forth
180,6,   by picking the faded blue
181,6,of the last remaining aster flower
182,6, to carry again to you.
183,7,the line-storm clouds fly tattered and swift.
184,7," the road is forlorn all day,"
185,7,"where a myriad snowy quartz stones lift,"
186,7, and the hoof-prints vanish away.
187,7,"the roadside flowers, too wet for the bee,"
188,7, expend their bloom in vain.
189,7,"come over the hills and far with me,"
190,7, and be my love in the rain.
191,7,the birds have less to say for themselves
192,7, in the wood-world's torn despair
193,7,"than now these numberless years the elves,"
194,7," although they are no less there,"
195,7,all song of the woods is crushed like some
196,7," wild, earily shattered rose."
197,7,"come, be my love in the wet woods, come,"
198,7, where the boughs rain when it blows.
199,7,there is the gale to urge behind
200,7," and bruit our singing down,"
201,7,and the shallow waters aflutter with wind
202,7, from which to gather your gown.
203,7,"what matter if we go clear to the west,"
204,7, and come not through dry-shod?
205,7,for wilding brooch shall wet your breast
206,7, the rain-fresh goldenrod.
207,7,"oh, never this whelming east wind swells"
208,7, but it seems like the sea's return
209,7,to the ancient lands where it left the shells
210,7, before the age of the fern;
211,7,and it seems like the time when after doubt
212,7, our love came back amain.
213,7,"oh, come forth into the storm and rout"
214,7, and be my love in the rain.
215,8,"i have wished a bird would fly away,"
216,8,and not sing by my house all day;
217,8,have clapped my hands at him from the door
218,8,when it seemed as if i could bear no more.
219,8,the fault must partly have been in me.
220,8,the bird was not to blame for his key.
221,8,and of course there must be something wrong
222,8,in wanting to silence any song.
223,9,there's a patch of old snow in a corner
224,9,that i should have guessed
225,9,was a blow-away paper the rain
226,9,had brought to rest.
227,9,it is speckled with grime as if
228,9,"small print overspread it,"
229,9,the news of a day i've forgotten  
230,9,if i ever read it.
231,10,"oh, give us pleasure in the flowers today;"
232,10,and give us not to think so far away
233,10,as the uncertain harvest; keep us here
234,10,all simply in the springing of the year.
235,10,"oh, give us pleasure in the orchard white,"
236,10,"like nothing else by day, like ghosts by night;"
237,10,"and make us happy in the happy bees,"
238,10,the swarm dilating round the perfect trees.
239,10,and make us happy in the darting bird
240,10,"that suddenly above the bees is heard,"
241,10,"the meteor that thrusts in with needle bill,"
242,10,and off a blossom in mid air stands still.
243,10,"for this is love and nothing else is love,"
244,10,to which it is reserved for god above
245,10,"to sanctify to what far ends he will,"
246,10,but which it only needs that we fulfill.
247,11,"a voice said, look me in the stars"
248,11,"and tell me truly, men of earth,"
