,corpus_id,sentences
0,0,"tell me no more of thy love, papeeha,"
1,0,"wouldst thou recall to my heart, papeeha,"
2,0,"dreams of delight that are gone,"
3,0,when swift to my side came the feet of my lover
4,0,with stars of the dusk and the dawn?
5,0,"i see the soft wings of the clouds on the river,"
6,0,"and jewelled with raindrops the mango-leaves quiver,"
7,0,and tender boughs flower on the plain.....
8,0,"but what is their beauty to me, papeeha,"
9,0,"beauty of blossom and shower, papeeha,"
10,0,that brings not my lover again?
11,0,"tell me no more of thy love, papeeha,"
12,0,"wouldst thou revive in my heart, papeeha"
13,0,grief for the joy that is gone?
14,0,i hear the bright peacock in glimmering woodlands
15,0,cry to its mate in the dawn;
16,0,"i hear the black koel's slow, tremulous wooing,"
17,0,and sweet in the gardens the calling and cooing
18,0,of passionate bulbul and dove....
19,0,"but what is their music to me, papeeha"
20,0,"songs of their laughter and love, papeeha,"
21,0,"to me, forsaken of love?"
22,1,parvati at her lattice
23,1,o love! were you a basil-wreath to twine
24,1,"among my tresses,"
25,1,"a jewelled clasp of shining gold to bind around my sleeve,"
26,1,o love! were you the keora's soul that haunts
27,1,"my silken raiment,"
28,1,"a bright, vermilion tassel in the girdles that i weave;"
29,1,o love! were you the scented fan
30,1,"that lies upon my pillow,"
31,1,"a sandal lute, or silver lamp that burns before my shrine,"
32,1,why should i fear the jealous dawn
33,1,"that spreads with cruel laughter,"
34,1,sad veils of separation between your face and mine?
35,1,"haste, o wild-bee hours, to the gardens of the sun set!"
36,1,"fly, wild-parrot day, to the orchards of the west!"
37,1,"come, o tender night, with your sweet,"
38,1,"consoling darkness,"
39,1,and bring me my beloved to the shelter of my breast!
40,1,amar singh in the saddle
41,1,o love! were you the hooded hawk upon my hand
42,1,"that flutters,"
43,1,"its collar-band of gleaming bells atinkle as i ride,"
44,1,o love! were you a turban-spray or
45,1,"floating heron-feather,"
46,1,"the radiant, swift, unconquered sword"
47,1,that swingeth at my side;
48,1,o love! were you a shield against the
49,1,"arrows of my foemen,"
50,1,"an amulet of jade against the perils of the way,"
51,1,how should the drum-beats of the dawn
52,1,"divide me from your bosom,"
53,1,or the union of the midnight be ended with the day?
54,1,"haste, o wild-deer hours, to the meadows of the sunset!"
55,1,"fly, wild stallion day, to the pastures of the west!"
56,1,"come, o tranquil night, with your soft,"
57,1,"consenting darkness,"
58,1,and bear me to the fragrance of my beloved's breast!
59,2,like this alabaster box whose art
60,2,"is frail as a cassia-flower, is my heart,"
61,2,carven with delicate dreams and wrought
62,2,with many a subtle and exquisite thought.
63,2,therein i treasure the spice and scent
64,2,of rich and passionate memories blent
65,2,"like odours of cinnamon, sandal and clove,"
66,2,of song and sorrow and life and love.
67,3,he
68,3,lift up the veils that darken the delicate moon
69,3,"of thy glory and grace,"
70,3,"withhold not, o love, from the night"
71,3,"of my longing the joy of thy luminous face,"
72,3,give me a spear of the scented keora
73,3,"guarding thy pinioned curls,"
74,3,or a silken thread from the fringes
75,3,that trouble the dream of thy glimmering pearls;
76,3,faint grows my soul with thy tresses' perfume
77,3,"and the song of thy anklets' caprice,"
78,3,"revive me, i pray, with the magical nectar"
79,3,that dwells in the flower of thy kiss.
80,3,she
81,3,"how shall i yield to the voice of thy pleading,"
82,3,"how shall i grant thy prayer,"
83,3,"or give thee a rose-red silken tassel,"
84,3,a scented leaf from my hair?
85,3,"or fling in the flame of thy heart's desire the veils that cover my face,"
86,3,profane the law of my father's creed for a foe
87,3,of my father's race?
88,3,"thy kinsmen have broken our sacred altars and slaughtered our sacred kine,"
89,3,the feud of old faiths and the blood of old battles sever thy people and mine.
90,3,he
91,3,"what are the sins of my race, beloved,"
92,3,what are my people to thee?
93,3,"and what are thy shrines, and kine and kindred,"
94,3,what are thy gods to me?
95,3,"love recks not of feuds and bitter follies,"
96,3,"of stranger, comrade or kin,"
97,3,alike in his ear sound the temple bells
98,3,and the cry of the muezzin.
99,3,for love shall cancel the ancient wrong
100,3,"and conquer the ancient rage,"
101,3,redeem with his tears the memoried sorrow
102,3,that sullied a bygone age.
103,4,he
104,4,lift up the veils that darken the delicate moon
105,4,"of thy glory and grace,"
106,4,"withhold not, o love, from the night"
107,4,"of my longing the joy of thy luminous face,"
108,4,give me a spear of the scented keora
109,4,"guarding thy pinioned curls,"
110,4,or a silken thread from the fringes
111,4,that trouble the dream of thy glimmering pearls;
112,4,faint grows my soul with thy tresses' perfume
113,4,"and the song of thy anklets' caprice,"
114,4,"revive me, i pray, with the magical nectar"
115,4,that dwells in the flower of thy kiss.
116,4,she
117,4,"how shall i yield to the voice of thy pleading,"
118,4,"how shall i grant thy prayer,"
119,4,"or give thee a rose-red silken tassel,"
120,4,a scented leaf from my hair?
121,4,"or fling in the flame of thy heart's desire the veils that cover my face,"
122,4,profane the law of my father's creed for a foe
123,4,of my father's race?
124,4,"thy kinsmen have broken our sacred altars and slaughtered our sacred kine,"
125,4,the feud of old faiths and the blood of old battles sever thy people and mine.
126,4,he
127,4,"what are the sins of my race, beloved,"
128,4,what are my people to thee?
129,4,"and what are thy shrines, and kine and kindred,"
130,4,what are thy gods to me?
131,4,"love recks not of feuds and bitter follies,"
132,4,"of stranger, comrade or kin,"
133,4,alike in his ear sound the temple bells
134,4,and the cry of the muezzin.
135,4,for love shall cancel the ancient wrong
136,4,"and conquer the ancient rage,"
137,4,redeem with his tears the memoried sorrow
