,corpus_id,sentences
0,0,from off a hill whose concave womb reworded
1,0,"    a plaintful story from a sistering vale,"
2,0,"    my spirits to attend this double voice accorded,"
3,0,    and down i laid to list the sad-tuned tale;
4,0,"    ere long espied a fickle maid full pale,"
5,0,"    tearing of papers, breaking rings a-twain,"
6,0,    storming her world with sorrow's wind and rain.
7,0,"    upon her head a platted hive of straw,"
8,0,"    which fortified her visage from the sun,"
9,0,    whereon the thought might think sometime it saw
10,0,"    the carcass of beauty spent and done,"
11,0,"    time had not scythed all that youth begun,"
12,0,"    nor youth all quit; but, spite of heaven's fell rage,"
13,0,    some beauty peep'd through lattice of sear'd age.
14,0,"    oft did she heave her napkin to her eyne,"
15,0,"    which on it had conceited characters,"
16,0,    laundering the silken figures in the brine
17,0,"    that season'd woe had pelleted in tears,"
18,0,    and often reading what contents it bears;
19,0,"    as often shrieking undistinguish'd woe,"
20,0,"    in clamours of all size, both high and low."
21,0,"    sometimes her levell'd eyes their carriage ride,"
22,0,    as they did battery to the spheres intend;
23,0,    sometime diverted their poor balls are tied
24,0,    to the orbed earth; sometimes they do extend
25,0,    their view right on; anon their gazes lend
26,0,"    to every place at once, and, nowhere fix'd,"
27,0,    the mind and sight distractedly commix'd.
28,0,"    her hair, nor loose nor tied in formal plat,"
29,0,    proclaim'd in her a careless hand of pride
30,0,"    for some, untuck'd, descended her sheaved hat,"
31,0,    hanging her pale and pined cheek beside;
32,0,"    some in her threaden fillet still did bide,"
33,0,"    and true to bondage would not break from thence,"
34,0,    though slackly braided in loose negligence.
35,0,    a thousand favours from a maund she drew
36,0,"    of amber, crystal, and of beaded jet,"
37,0,"    which one by one she in a river threw,"
38,0,    upon whose weeping margent she was set;
39,0,"    like usury, applying wet to wet,"
40,0,    or monarch's hands that let not bounty fall
41,0,"    where want cries some, but where excess begs all."
42,0,"    of folded schedules had she many a one,"
43,0,"    which she perused, sigh'd, tore, and gave the flood;"
44,0,    crack'd many a ring of posied gold and bone
45,0,    bidding them find their sepulchres in mud;
46,0,"    found yet moe letters sadly penn'd in blood,"
47,0,    with sleided silk feat and affectedly
48,0,"    enswathed, and seal'd to curious secrecy."
49,0,"    these often bathed she in her fluxive eyes,"
50,0,"    and often kiss'd, and often 'gan to tear,"
51,0,"    cried 'o false blood, thou register of lies,"
52,0,    what unapproved witness dost thou bear!
53,0,    ink would have seem'd more black and damned here!'
54,0,"    this said, in top of rage the lines she rents,"
55,0,    big discontent so breaking their contents.
56,0,    a reverend man that grazed his cattle nigh 
57,0,"    sometime a blusterer, that the ruffle knew"
58,0,"    of court, of city, and had let go by"
59,0,"    the swiftest hours, observed as they flew "
60,0,"    towards this afflicted fancy fastly drew,"
61,0,"    and, privileged by age, desires to know"
62,0,    in brief the grounds and motives of her woe.
63,0,"    so slides he down upon his grained bat,"
64,0,    and comely-distant sits he by her side;
65,0,"    when he again desires her, being sat,"
66,0,"    her grievance with his hearing to divide,"
67,0,    if that from him there may be aught applied
68,0,"    which may her suffering ecstasy assuage,"
69,0,    'tis promised in the charity of age.
70,0,"    'father,' she says, 'though in me you behold"
71,0,"    the injury of many a blasting hour,"
72,0,    let it not tell your judgment i am old;
73,0,"    not age, but sorrow, over me hath power,"
74,0,"    i might as yet have been a spreading flower,"
75,0,"    fresh to myself, if i had self-applied"
76,0,    love to myself and to no love beside.
