,corpus_id,sentences
0,0,"'tis said, that some have died for love,"
1,0,and here and there a churchyard grave is found
2,0,"in the cold north's unhallowed ground,"
3,0,"because the wretched man himself had slain,"
4,0,his love was such a grievous pain.
5,0,and there is one whom i five years have known;
6,0,he dwells alone
7,0,"upon helvellyn's side,"
8,0,he loved the pretty barbara died;
9,0,"and thus he makes his moan,"
10,0,three years had barbara in her grave been laid
11,0,"when thus his moan he made,"
12,0,"""oh, move, thou cottage, from behind that oak!"
13,0,"or let the aged tree uprooted lie,"
14,0,that in some other way yon smoke
15,0,may mount into the sky!
16,0,the clouds pass on; they from the heavens depart.
17,0,i look the sky is empty space;
18,0,i know not what i trace;
19,0,"but when i cease to look, my hand is on my heart."
20,0,"""oh! what a weight is in these shades! ye leaves,"
21,0,"that murmur once so dear, when will it cease?"
22,0,"your sound my heart of rest bereaves,"
23,0,it robs my heart of peace.
24,0,"thou thrush, that singest loud and loud and free,"
25,0,"into yon row of willows flit,"
26,0,upon that alder sit;
27,0,"or sing another song, or choose another tree."
28,0,"""roll back, sweet rill! back to thy mountain-bounds,"
29,0,and there for ever be thy waters chained!
30,0,for thou dost haunt the air with sounds
31,0,that cannot be sustained;
32,0,if still beneath that pine-tree's ragged bough
33,0,"headlong yon waterfall must come,"
34,0,oh let it then be dumb!
35,0,"be anything, sweet rill, but that which thou art now."
36,0,"""thou eglantine, so bright with sunny showers,"
37,0,"proud as a rainbow spanning half the vale,"
38,0,"thou one fair shrub, oh! shed thy flowers,"
39,0,and stir not in the gale.
40,0,"for thus to see thee nodding in the air,"
41,0,"to see thy arch thus stretch and bend,"
42,0,"thus rise and thus descend, "
43,0,"disturbs me till the sight is more than i can dear."""
44,0,the man who makes this feverish complaint
45,0,"is one of giant stature, who could dance"
46,0,equipped from head to foot in iron mail.
47,0,ah gentle love! if ever thought was thine
48,0,"to store up kindred hours for me, thy face"
49,0,"turn from me, gentle love! nor let me walk"
50,0,"within the sound of emma's voice, nor know"
51,0,such happiness as i have known to-day.
52,1,i marvel how nature could ever find space
53,1,"for so many strange contrasts in one human face,"
54,1,"there's thought and no thought, and there's paleness and bloom"
55,1,"and bustle and sluggishness, pleasure and gloom."
56,1,"there's weakness, and strength both redundant and vain;"
57,1,"such strength as, if ever affliction and pain"
58,1,"could pierce through a temper that's soft to disease,"
59,1,would be rational peace a philosopher's ease.
60,1,"there's indifference, alike when he fails or succeeds,"
61,1,and attention full ten times as much as there needs;
62,1,"pride where there's no envy, there's so much of joy;"
63,1,"and mildness, and spirit both forward and coy."
64,1,"there's freedom, and sometimes a diffident stare"
65,1,"of shame scarcely seeming to know that she's there,"
66,1,"there's virtue, the title it surely may claim,"
67,1,yet wants heaven knows what to be worthy the name.
68,1,"this picture from nature may seem to depart,"
69,1,yet the man would at once run away with your heart;
70,1,and i for five centuries right gladly would be
71,1,such an odd such a kind happy creature as he.
72,2,there is a change and i am poor;
73,2,"your love hath been, nor long ago,"
74,2,"a fountain at my fond heart's door,"
75,2,whose only business was to flow;
76,2,and flow it did; not taking heed
77,2,"of its own bounty, or my need."
78,2,what happy moments did i count!
79,2,blest was i then all bliss above!
80,2,"now, for that consecrated fount"
81,2,"of murmuring, sparkling, living love,"
82,2,what have i? shall i dare to tell?
83,2,a comfortless and hidden well.
84,2,a well of love it may be deep 
85,2,"i trust it is, and never dry,"
86,2,what matter? if the waters sleep
87,2,in silence and obscurity.
88,2," such change, and at the very door"
89,2,"of my fond heart, hath made me poor."
90,3,"a narrow girdle of rough stones and crags,"
91,3,"a rude and natural causeway, interposed"
92,3,between the water and a winding slope
93,3,"of copse and thicket, leaves the eastern shore"
94,3,"of grasmere safe in its own privacy,"
95,3,"and there myself and two beloved friends,"
96,3,"one calm september morning, ere the mist"
97,3,"had altogether yielded to the sun,"
98,3,sauntered on this retired and difficult way.
99,3, -ill suits the road with one in haste; but we
100,3,"played with our time; and, as we strolled along,"
101,3,it was our occupation to observe
102,3,such objects as the waves had tossed ashore 
103,3,"feather, or leaf, or weed, or withered bough,"
104,3,"each on the other heaped, along the line"
105,3,"of the dry wreck. and, in our vacant mood,"
106,3,not seldom did we stop to watch some tuft
107,3,"of dandelion seed or thistle's beard,"
108,3,"that skimmed the surface of the dead calm lake,"
109,3,suddenly halting now a lifeless stand!
110,3,and starting off again with freak as sudden;
111,3,"in all its sportive wanderings, all the while,"
112,3,making report of an invisible breeze
113,3,"that was its wings, its chariot, and its horse,"
114,3,"its playmate, rather say, its moving soul."
115,3," and often, trifling with a privilege"
116,3,"alike indulged to all, we paused, one now,"
117,3,"and now the other, to point out, perchance"
118,3,"to pluck, some flower or water-weed, too fair"
119,3,either to be divided from the place
120,3,"on which it grew, or to be left alone"
121,3,"to its own beauty. many such there are,"
122,3,"fair ferns and flowers, and chiefly that tall fern,"
123,3,"so stately, of the queen osmunda named;"
124,3,"plant lovelier, in its own retired abode"
125,3,"on grasmere's beach, than naiad by the side"
126,3,"of grecian brook, or lady of the mere,"
127,3,sole-sitting by the shores of old romance.
128,3," so fared we that bright morning, from the fields"
129,3,"meanwhile, a noise was heard, the busy mirth"
130,3,"of reapers, men and women, boys and girls."
131,3,"delighted much to listen to those sounds,"
132,3,"and feeding thus our fancies, we advanced"
133,3,"along the indented shore; when suddenly,"
134,3,through a thin veil of glittering haze was seen
135,3,"before us, on a point of jutting land,"
136,3,the tall and upright figure of a man
137,3,"attired in peasant's garb, who stood alone,"
138,3,angling beside the margin of the lake.
139,3,"""improvident and reckless,"" we exclaimed,"
140,3,"""the man must be, who thus can lose a day"
141,3,"of the mid harvest, when the labourer's hire"
142,3,"is ample, and some little might be stored"
143,3,"wherewith to cheer him in the winter time."""
144,3,"thus talking of that peasant, we approached"
145,3,close to the spot where with his rod and line
146,3,he stood alone; whereat he turned his head
147,3,to greet us and we saw a mam worn down
148,3,"by sickness, gaunt and lean, with sunken cheeks"
149,3,"and wasted limbs, his legs so long and lean"
150,3,"that for my single self i looked at them,"
151,3,forgetful of the body they sustained. 
152,3,"too weak to labour in the harvest field,"
153,3,the man was using his best skill to gain
154,3,a pittance from the dead unfeeling lake
155,3,that knew not of his wants. i will not say
156,3,"what thoughts immediately were ours, nor how"
157,3,"the happy idleness of that sweet morn,"
158,3,"with all its lovely images, was changed"
159,3,to serious musing and to self-reproach.
160,3,nor did we fail to see within ourselves
161,3,"what need there is to be reserved in speech,"
162,3,and temper all our thoughts with charity.
163,3," therefore, unwilling to forget that day,"
164,3,"my friend, myself, and she who then received"
165,3,"the same admonishment, have called the place"
166,3,"by a memorial name, uncouth indeed"
167,3,as e'er by mariner was given to bay
168,3,"or foreland, on a new-discovered coast;"
169,3,and point rash-judgment is the name it bears.
170,4,lo! where the moon along the sky
171,4,sails with her happy destiny;
172,4,oft is she hid from mortal eye
173,4,"or dimly seen,"
174,4,but when the clouds asunder fly
175,4,how bright her mien!
176,4,"far different we a froward race,"
177,4,thousands though rich in fortune's grace
178,4,with cherished sullenness of pace
179,4,"their way pursue,"
180,4,ingrates who wear a smileless face
181,4,the whole year through.
