,title,text
0,"""As if I asked a common Alms""","323

As if I asked a common Alms,
And in my wondering hand
A Stranger pressed a Kingdom,
And I, bewildered, stand—
As if I asked the Orient
Had it for me a Morn—
And it should lift its purple Dikes,
And shatter me with Dawn!"
1,"""It always felt to me—a wrong""","597

It always felt to me—a wrong
To that Old Moses—done—
To let him see—the Canaan—
Without the entering—

And tho' in soberer moments—
No Moses there can be
I'm satisfied—the Romance
In point of injury—

Surpasses sharper stated—
Of Stephen—or of Paul—
For these—were only put to death—
While God's adroiter will

On Moses—seemed to fasten
With tantalizing Play
As Boy—should deal with lesser Boy—
To prove ability.

The fault—was doubtless Israel's—
Myself—had banned the Tribes—
And ushered Grand Old Moses
In Pentateuchal Robes

Upon the Broad Possession
'Twas little—But titled Him—to see—
Old Man on Nebo! Late as this—
My justice bleeds—for Thee!"
2,"""Me from Myself—to banish""","642

Me from Myself—to banish—
Had I Art—
Impregnable my Fortress
Unto All Heart—

But since Myself—assault Me—
How have I peace
Except by subjugating
Consciousness?

And since We're mutual Monarch
How this be
Except by Abdication—
Me—of Me?"
3,"""My Faith is larger than the Hills-""","766

My Faith is larger than the Hills—
So when the Hills decay—
My Faith must take the Purple Wheel
To show the Sun the way—

'Tis first He steps upon the Vane—
And then—upon the Hill—
And then abroad the World He go
To do His Golden Will—

And if His Yellow feet should miss—
The Bird would not arise—
The Flowers would slumber on their Stems—
No Bells have Paradise—

How dare I, therefore, stint a faith
On which so vast depends—
Lest Firmament should fail for me—
The Rivet in the Bands"
4,"""No Romance sold unto""","669

No Romance sold unto
Could so enthrall a Man
As the perusal of
His Individual One—
'Tis Fiction's—When 'tis small enough
To Credit—'Tisn't true!"
5,"""She rose to his requirement, dropped""","She rose to his requirement, dropped
The playthings of her life
To take the honorable work
Of woman and of wife.

If aught she missed in her new day
Of amplitude, or awe,
Or first prospective, or the gold
In using wore away,

It lay unmentioned, as the sea
Develops pearl and weed,
But only to himself is known
The fathoms they abide."
6,"""We talked as Girls do-""","586

We talked as Girls do—
Fond, and late—
We speculated fair, on every subject, but the Grave—
Of ours, none affair—

We handled Destinies, as cool—
As we—Disposers—be—
And God, a Quiet Party
To our Authority—

But fondest, dwelt upon Ourself
As we eventual—be—
When Girls to Women, softly raised
We—occupy—Degree—

We parted with a contract
To cherish, and to write
But Heaven made both, impossible
Before another night."
7,'Tis Anguish grander than Delight,"'Tis Anguish grander than Delight
'Tis Resurrection Pain—
The meeting Bands of smitten Face
We questioned to, again.

'Tis Transport wild as thrills the Graves
When Cerements let go
And Creatures clad in Miracle
Go up by Two and Two."
8,'Tis customary as we part,"440

'Tis customary as we part
A trinket—to confer—
It helps to stimulate the faith
When Lovers be afar—

'Tis various—as the various taste—
Clematis—journeying far—
Presents me with a single Curl
Of her Electric Hair—"
9,'Tis little I—could care for Pearls,"466

'Tis little I—could care for Pearls—
Who own the ample sea—
Or Brooches—when the Emperor—
With Rubies—pelteth me—

Or Gold—who am the Prince of Mines—
Or Diamonds—when have I
A Diadem to fit a Dom—
Continual upon me—"
10,'Tis not that Dying hurts us so,"335

'Tis not that Dying hurts us so—
'Tis Living—hurts us more—
But Dying—is a different way—
A Kind behind the Door—

The Southern Custom—of the Bird—
That ere the Frosts are due—
Accepts a better Latitude—
We—are the Birds—that stay.

The Shrivers round Farmers' doors—
For whose reluctant Crumb—
We stipulate—till pitying Snows
Persuade our Feathers Home."
11,'Tis One by One—the Father counts,"545

'Tis One by One—the Father counts—
And then a Tract between
Set Cypherless—to teach the Eye
The Value of its Ten—

Until the peevish Student
Acquire the Quick of Skill—
Then Numerals are dowered back—
Adorning all the Rule—

'Tis mostly Slate and Pencil—
And Darkness on the School
Distracts the Children's fingers—
Still the Eternal Rule

Regards least Cypherer alike
With Leader of the Band—
And every separate Urchin's Sum—
Is fashioned for his hand—"
12,'Tis Opposites—entice,"'Tis Opposites—entice—
Deformed Men—ponder Grace—
Bright fires—the Blanketless—
The Lost—Day's face—

The Blind—esteem it be
Enough Estate—to see—
The Captive—strangles new—
For deeming—Beggars—play—

To lack—enamor Thee—
Tho' the Divinity—
Be only
Me—"
13,'Tis so appalling—it exhilarates,"281

'Tis so appalling—it exhilarates—
So over Horror, it half Captivates—
The Soul stares after it, secure—
A Sepulchre, fears frost, no more—

To scan a Ghost, is faint—
But grappling, conquers it—
How easy, Torment, now—
Suspense kept sawing so—

The Truth, is Bald, and Cold—
But that will hold—
If any are not sure—
We show them—prayer—
But we, who know,
Stop hoping, now—

Looking at Death, is Dying—
Just let go the Breath—
And not the pillow at your Cheek
So Slumbereth—

Others, Can wrestle—
Yours, is done—
And so of Woe, bleak dreaded—come,
It sets the Fright at liberty—
And Terror's free—
Gay, Ghastly, Holiday!"
14,'Tis so much joy! 'Tis so much joy!,"172

'Tis so much joy! 'Tis so much joy!
If I should fail, what poverty!
And yet, as poor as I,
Have ventured all upon a throw!
Have gained! Yes! Hesitated so—
This side the Victory!

Life is but Life! And Death, but Death!
Bliss is, but Bliss, and Breath but Breath!
And if indeed I fail,
At least, to know the worst, is sweet!
Defeat means nothing but Defeat,
No drearier, can befall!

And if I gain! Oh Gun at Sea!
Oh Bells, that in the Steeples be!
At first, repeat it slow!
For Heaven is a different thing,
Conjectured, and waked sudden in—
And might extinguish me!"
15,'Tis Sunrise—Little Maid—Hast Thou,"908

'Tis Sunrise—Little Maid—Hast Thou
No Station in the Day?
'Twas not thy wont, to hinder so—
Retrieve thine industry—

'Tis Noon—My little Maid—
Alas—and art thou sleeping yet?
The Lily—waiting to be Wed—
The Bee—Hast thou forgot?

My little Maid—'Tis Night—Alas
That Night should be to thee
Instead of Morning—Had'st thou broached
Thy little Plan to Die—
Dissuade thee, if I could not, Sweet,
I might have aided—thee—"
16,'Tis true—They shut me in the Cold,"538

'Tis true—They shut me in the Cold—
But then—Themselves were warm
And could not know the feeling 'twas—
Forget it—Lord—of Them—

Let not my Witness hinder Them
In Heavenly esteem—
No Paradise could be—Conferred
Through Their beloved Blame—

The Harm They did—was short—And since
Myself—who bore it—do—
Forgive Them—Even as Myself—
Or else—forgive not me—"
17,'Twas a long Parting—but the time,"625

'Twas a long Parting—but the time
For Interview—had Come—
Before the Judgment Seat of God—
The last—and second time

These Fleshless Lovers met—
A Heaven in a Gaze—
A Heaven of Heavens—the Privilege
Of one another's Eyes—

No Lifetime—on Them—
Appareled as the new
Unborn—except They had beheld—
Born infiniter—now—

Was Bridal—e'er like This?
A Paradise—the Host—
And Cherubim—and Seraphim—
The unobtrusive Guest—"
18,"'Twas awkward, but it fitted me","973

'Twas awkward, but it fitted me—
An Ancient fashioned Heart—
Its only lore—its Steadfastness—
In Change—unerudite—

It only moved as do the Suns—
For merit of Return—
Or Birds—confirmed perpetual
By Alternating Zone—

I only have it not Tonight
In its established place—
For technicality of Death—
Omitted in the Lease—"
19,"'Twas just this time, last year, I died","445

'Twas just this time, last year, I died.
I know I heard the Corn,
When I was carried by the Farms—
It had the Tassels on—

I thought how yellow it would look—
When Richard went to mill—
And then, I wanted to get out,
But something held my will.

I thought just how Red—Apples wedged
The Stubble's joints between—
And the Carts stooping round the fields
To take the Pumpkins in—

I wondered which would miss me, least,
And when Thanksgiving, came,
If Father'd multiply the plates—
To make an even Sum—

And would it blur the Christmas glee
My Stocking hang too high
For any Santa Claus to reach
The Altitude of me—

But this sort, grieved myself,
And so, I thought the other way,
How just this time, some perfect year—
Themself, should come to me—"
20,"'Twas like a Maelstrom, with a notch","414

'Twas like a Maelstrom, with a notch,
That nearer, every Day,
Kept narrowing its boiling Wheel
Until the Agony

Toyed coolly with the final inch
Of your delirious Hem—
And you dropt, lost,
When something broke—
And let you from a Dream—

As if a Goblin with a Gauge—
Kept measuring the Hours—
Until you felt your Second
Weigh, helpless, in his Paws—

And not a Sinew—stirred—could help,
And sense was setting numb—
When God—remembered—and the Fiend
Let go, then, Overcome—

As if your Sentence stood—pronounced—
And you were frozen led
From Dungeon's luxury of Doubt
To Gibbets, and the Dead—

And when the Film had stitched your eyes
A Creature gasped ""Reprieve""!
Which Anguish was the utterest—then—
To perish, or to live?"
21,'Twas Love—not me,"394

'Twas Love—not me—
Oh punish—pray—
The Real one died for Thee—
Just Him—not me—

Such Guilt—to love Thee—most!
Doom it beyond the Rest—
Forgive it—last—
'Twas base as Jesus—most!

Let Justice not mistake—
We Two—looked so alike—
Which was the Guilty Sake—
'Twas Love's—Now Strike!"
22,'Twas the old—road—through pain,"344

'Twas the old—road—through pain—
That unfrequented—one—
With many a turn—and thorn—
That stops—at Heaven—

This—was the Town—she passed—
There—where she—rested—last—
Then—stepped more fast—
The little tracks—close prest—
Then—not so swift—
Slow—slow—as feet did weary—grow—
Then—stopped—no other track!

Wait! Look! Her little Book—
The leaf—at love—turned back—
Her very Hat—
And this worn shoe just fits the track—
Herself—though—fled!

Another bed—a short one—
Women make—tonight—
In Chambers bright—
Too out of sight—though—
For our hoarse Good Night—
To touch her Head!"
23,'Twas warm—at first—like Us,"519

'Twas warm—at first—like Us—
Until there crept upon
A Chill—like frost upon a Glass—
Till all the scene—be gone.

The Forehead copied Stone—
The Fingers grew too cold
To ache—and like a Skater's Brook—
The busy eyes—congealed—

It straightened—that was all—
It crowded Cold to Cold—
It multiplied indifference—
As Pride were all it could—

And even when with Cords—
'Twas lowered, like a Weight—
It made no Signal, nor demurred,
But dropped like Adamant."
24,'Twould ease—a Butterfly,"682

'Twould ease—a Butterfly—
Elate—a Bee—
Thou'rt neither—
Neither—thy capacity—

But, Blossom, were I,
I would rather be
Thy moment
Than a Bee's Eternity—

Content of fading
Is enough for me—
Fade I unto Divinity—

And Dying—Lifetime—
Ample as the Eye—
Her least attention raise on me—"
25,A Bird Came Down,"A bird came down the walk:
He did not know I saw;
He bit an angle-worm in halves
And ate the fellow, raw.

And then he drank a dew
From a convenient grass,
And then hopped sidewise to the wall
To let a beetle pass.

He glanced with rapid eyes
That hurried all abroad,--
They looked like frightened beads, I thought;
He stirred his velvet head

Like one in danger; cautious,
I offered him a crumb,
And he unrolled his feathers
And rowed him softer home

Than oars divide the ocean,
Too silver for a seam,
Or butterflies, off banks of noon,
Leap, splashless, as they swim."
26,A Book,"There is no frigate like a book
To take us lands away,
Nor any coursers like a page
Of prancing poetry.
This traverse may the poorest take
Without oppress of toll;
How frugal is the chariot
That bears a human soul!"
27,A Burdock—clawed my Gown,"229

A Burdock—clawed my Gown—
Not Burdock's—blame—
But mine—
Who went too near
The Burdock's Den—

A Bog—affronts my shoe—
What else have Bogs—to do—
The only Trade they know—
The splashing Men!
Ah, pity—then!

'Tis Minnows can despise!
The Elephant's—calm eyes
Look further on!"
28,A Charm invests a face,"421

A Charm invests a face
Imperfectly beheld—
The Lady date not lift her Veil
For fear it be dispelled—

But peers beyond her mesh—
And wishes—and denies—
Lest Interview—annul a want
That Image—satisfies—"
29,A Clock Stopped -- Not The Mantel's,"A clock stopped -- not the mantel's
  Geneva's farthest skill
Can't put the puppet bowing
  That just now dangled still.

An awe came on the trinket!
  The figures hunched with pain,
Then quivered out of decimals
  Into degreeless noon.

It will not stir for doctors,
  This pendulum of snow;
The shopman importunes it,
  While cool, concernless No

Nods from the gilded pointers,
  Nods from seconds slim,
Decades of arrogance between
  The dial life and him."
30,A Cloud withdrew from the Sky,"895

A Cloud withdrew from the Sky
Superior Glory be
But that Cloud and its Auxiliaries
Are forever lost to me

Had I but further scanned
Had I secured the Glow
In an Hermetic Memory
It had availed me now.

Never to pass the Angel
With a glance and a Bow
Till I am firm in Heaven
Is my intention now."
31,A Coffin—is a small Domain,"943

A Coffin—is a small Domain,
Yet able to contain
A Citizen of Paradise
In it diminished Plane.

A Grave—is a restricted Breadth—
Yet ampler than the Sun—
And all the Seas He populates
And Lands He looks upon

To Him who on its small Repose
Bestows a single Friend—
Circumference without Relief—
Or Estimate—or End—"
32,A darting fear—a pomp—a tear,"87

A darting fear—a pomp—a tear—
A waking on a morn
To find that what one waked for,
Inhales the different dawn."
33,A Day! Help! Help! Another Day!,"42

A Day! Help! Help! Another Day!
Your prayers, oh Passer by!
From such a common ball as this
Might date a Victory!
From marshallings as simple
The flags of nations swang.
Steady—my soul: What issues
Upon thine arrow hang!"
34,A Death blow is a Life blow to Some,"816

A Death blow is a Life blow to Some
Who till they died, did not alive become—
Who had they lived, had died but when
They died, Vitality begun."
35,A door just opened on a street,"A door just opened on a street--
  I, lost, was passing by--
An instant's width of warmth disclosed
  And wealth, and company.

The door as sudden shut, and I,
  I, lost, was passing by,--
Lost doubly, but by contrast most,
  Enlightening misery."
36,A doubt if it be Us,"859

A doubt if it be Us
Assists the staggering Mind
In an extremer Anguish
Until it footing find.

An Unreality is lent,
A merciful Mirage
That makes the living possible
While it suspends the lives."
37,A drop fell on the apple tree,"A drop fell on the apple tree
Another on the roof;
A half a dozen kissed the eaves,
And made the gables laugh.

A few went out to help the brook,
That went to help the sea.
Myself conjectured, Were they pearls,
What necklaces could be!

The dust replaced in hoisted roa
The birds jocoser sung;
The sunshine threw his hat away,
The orchards spangles hung.

The breezes brought dejected
And bathed them in the glee;
The East put out a single flag,
And signed the fete away."
38,A Dying Tiger—moaned for Drink,"566

A Dying Tiger—moaned for Drink—
I hunted all the Sand—
I caught the Dripping of a Rock
And bore it in my Hand—

His Mighty Balls—in death were thick—
But searching—I could see
A Vision on the Retina
Of Water—and of me—

'Twas not my blame—who sped too slow—
'Twas not his blame—who died
While I was reaching him—
But 'twas—the fact that He was dead—"
39,A feather from the Whippoorwill,"161

A feather from the Whippoorwill
That everlasting—sings!
Whose galleries—are Sunrise—
Whose Opera—the Springs—
Whose Emerald Nest the Ages spin
Of mellow—murmuring thread—
Whose Beryl Egg, what Schoolboys hunt
In ""Recess""—Overhead!"
40,A first Mute Coming,"702

A first Mute Coming—
In the Stranger's House—
A first fair Going—
When the Bells rejoice—

A first Exchange—of
What hath mingled—been—
For Lot—exhibited to
Faith—alone—"
41,"A fuzzy fellow, without feet","173

A fuzzy fellow, without feet,
Yet doth exceeding run!
Of velvet, is his Countenance,
And his Complexion, dun!

Sometime, he dwelleth in the grass!
Sometime, upon a bough,
From which he doth descend in plush
Upon the Passer-by!

All this in summer.
But when winds alarm the Forest Folk,
He taketh Damask Residence—
And struts in sewing silk!

Then, finer than a Lady,
Emerges in the spring!
A Feather on each shoulder!
You'd scarce recognize him!

By Men, yclept Caterpillar!
By me! But who am I,
To tell the pretty secret
Of the Butterfly!"
42,A happy lip—breaks sudden,"353

A happy lip—breaks sudden—
It doesn't state you how
It contemplated—smiling—
Just consummated—now—
But this one, wears its merriment
So patient—like a pain—
Fresh gilded—to elude the eyes
Unqualified, to scan—"
