,title,text
0,A Boundless Moment,"He halted in the wind, and -- what was that
Far in the maples, pale, but not a ghost?
He stood there bringing March against his thought,
And yet too ready to believe the most.

""Oh, that's the Paradise-in-bloom,"" I said;
And truly it was fair enough for flowers
had we but in us to assume in march
Such white luxuriance of May for ours.

We stood a moment so in a strange world,
Myself as one his own pretense deceives;
And then I said the truth (and we moved on).
A young beech clinging to its last year's leaves."
1,A Boy's Will,"Part I
       Into My Own
           The youth is persuaded that he will be rather more than less himself
           for having forsworn the world.
       Ghost House
           He is happy in society of his choosing.
       My November Guest
           He is in love with being misunderstood.
       Love and a Question
           He is in doubt whether to admit real trouble to a place beside the
           hearth with love.
       A Late Walk
           He courts the autumnal mood.
       Stars
           There is no oversight of human affairs.
       Storm Fear
           He is afraid of his own isolation.
       Wind and Window Flower
           Out of the winter things he fashions a story of modern love.
       To the Thawing Wind (audio)
           He calls on change through the violence of the elements.
       A Prayer in Spring
           He discovers that the greatness of love lies not in forward-looking
           thoughts;
       Flower-gathering
           nor yet in any spur it may be to ambition.
       Rose Pogonias
           He is no dissenter from the ritualism of nature;
       Asking for Roses
           nor from the ritualism of youth which is make-believe.
       Waiting--Afield at Dusk
           He arrives at the turn of the year.
       In a Vale
           Out of old longings he fashions a story.
       A Dream Pang
           He is shown by a dream how really well it is with him.
       In Neglect
           He is scornful of folk his scorn cannot reach.
       The Vantage Point
           And again scornful, but there is no one hurt.
       Mowing
           He takes up life simply with the small tasks.
       Going for Water
   Part II
       Revelation
           He resolves to become intelligible, at least to himself, since there
           is no help else;
       The Trial by Existence
           and to know definitely what he thinks about the soul;
       In Equal Sacrifice
           about love;
       The Tuft of Flowers
           about fellowship;
       Spoils of the Dead
           about death;
       Pan with Us
           about art (his own);
       The Demiurge's Laugh
           about science.
   Part III
       Now Close the Windows
           It is time to make an end of speaking.
       A Line-storm Song
           It is the autumnal mood with a difference.
       October
           He sees days slipping from him that were the best for what they
           were.
       My Butterfly
           There are things that can never be the same.
       Reluctance"
2,A Brook In The City,"The farmhouse lingers, though averse to square
With the new city street it has to wear
A number in. But what about the brook
That held the house as in an elbow-crook?
I ask as one who knew the brook, its strength
And impulse, having dipped a finger length
And made it leap my knuckle, having tossed
A flower to try its currents where they crossed.
The meadow grass could be cemented down
From growing under pavements of a town;
The apple trees be sent to hearth-stone flame.
Is water wood to serve a brook the same?
How else dispose of an immortal force
No longer needed? Staunch it at its source
With cinder loads dumped down? The brook was thrown
Deep in a sewer dungeon under stone
In fetid darkness still to live and run --
And all for nothing it had ever done
Except forget to go in fear perhaps.
No one would know except for ancient maps
That such a brook ran water. But I wonder
If from its being kept forever under,
The thoughts may not have risen that so keep
This new-built city from both work and sleep."
3,A Cliff Dwelling,"There sandy seems the golden sky
And golden seems the sandy plain.
No habitation meets the eye
Unless in the horizon rim,
Some halfway up the limestone wall,
That spot of black is not a stain
Or shadow, but a cavern hole,
Where someone used to climb and crawl
To rest from his besetting fears.
I see the callus on his soul
The disappearing last of him
And of his race starvation slim,
Oh years ago - ten thousand years."
4,A Considerable Speck,"(Microscopic)

A speck that would have been beneath my sight
On any but a paper sheet so white
Set off across what I had written there.
And I had idly poised my pen in air
To stop it with a period of ink
When something strange about it made me think,
This was no dust speck by my breathing blown,
But unmistakably a living mite
With inclinations it could call its own.
It paused as with suspicion of my pen,
And then came racing wildly on again
To where my manuscript was not yet dry;
Then paused again and either drank or smelt--
With loathing, for again it turned to fly.
Plainly with an intelligence I dealt.
It seemed too tiny to have room for feet,
Yet must have had a set of them complete
To express how much it didn't want to die.
It ran with terror and with cunning crept.
It faltered: I could see it hesitate;
Then in the middle of the open sheet
Cower down in desperation to accept
Whatever I accorded it of fate.
I have none of the tenderer-than-thou
Collectivistic regimenting love
With which the modern world is being swept.
But this poor microscopic item now!
Since it was nothing I knew evil of
I let it lie there till I hope it slept.

I have a mind myself and recognize
Mind when I meet with it in any guise
No one can know how glad I am to find
On any sheet the least display of mind."
5,A Dream Pang,"I had withdrawn in forest, and my song
Was swallowed up in leaves that blew alway;
And to the forest edge you came one day
(This was my dream) and looked and pondered long,
But did not enter, though the wish was strong:
You shook your pensive head as who should say,
‘I dare not--too far in his footsteps stray--
He must seek me would he undo the wrong.

Not far, but near, I stood and saw it all
Behind low boughs the trees let down outside;
And the sweet pang it cost me not to call
And tell you that I saw does still abide.
But 'tis not true that thus I dwelt aloof,
For the wood wakes, and you are here for proof."
6,A Late Walk,"When I go up through the mowing field,
The headless aftermath,
   Smooth-laid like thatch with the heavy dew,
 Half closes the garden path.

   And when I come to the garden ground,
The whir of sober birds
 Up from the tangle of withered weeds
 Is sadder than any words

A tree beside the wall stands bare,
 But a leaf that lingered brown,
   Disturbed, I doubt not, by my thought,
 Comes softly rattling down.

 I end not far from my going forth
   By picking the faded blue
Of the last remaining aster flower
 To carry again to you."
7,A Line-Storm Song,"The line-storm clouds fly tattered and swift.
 The road is forlorn all day,
Where a myriad snowy quartz stones lift,
 And the hoof-prints vanish away.
The roadside flowers, too wet for the bee,
 Expend their bloom in vain.
Come over the hills and far with me,
 And be my love in the rain.

The birds have less to say for themselves
 In the wood-world's torn despair
Than now these numberless years the elves,
 Although they are no less there:
All song of the woods is crushed like some
 Wild, earily shattered rose.
Come, be my love in the wet woods, come,
 Where the boughs rain when it blows.

There is the gale to urge behind
 And bruit our singing down,
And the shallow waters aflutter with wind
 From which to gather your gown.
What matter if we go clear to the west,
 And come not through dry-shod?
For wilding brooch shall wet your breast
 The rain-fresh goldenrod.

Oh, never this whelming east wind swells
 But it seems like the sea's return
To the ancient lands where it left the shells
 Before the age of the fern;
And it seems like the time when after doubt
 Our love came back amain.
Oh, come forth into the storm and rout
 And be my love in the rain."
8,A Minor Bird,"I have wished a bird would fly away,
And not sing by my house all day;

Have clapped my hands at him from the door
When it seemed as if I could bear no more.

The fault must partly have been in me.
The bird was not to blame for his key.

And of course there must be something wrong
In wanting to silence any song."
9,A Patch of Old Snow,"There's a patch of old snow in a corner
That I should have guessed
Was a blow-away paper the rain
Had brought to rest.

It is speckled with grime as if
Small print overspread it,
The news of a day I've forgotten --
If I ever read it."
10,A Prayer In Spring,"Oh, give us pleasure in the flowers today;
And give us not to think so far away
As the uncertain harvest; keep us here
All simply in the springing of the year.

Oh, give us pleasure in the orchard white,
Like nothing else by day, like ghosts by night;
And make us happy in the happy bees,
The swarm dilating round the perfect trees.

And make us happy in the darting bird
That suddenly above the bees is heard,
The meteor that thrusts in with needle bill,
And off a blossom in mid air stands still.

For this is love and nothing else is love,
To which it is reserved for God above
To sanctify to what far ends he will,
But which it only needs that we fulfill."
11,A Question,"A voice said, Look me in the stars
And tell me truly, men of earth,
If all the soul-and-body scars
Were not too much to pay for birth."
