,title,text
0,A Love Song from the North,"Tell me no more of thy love, papeeha,
Wouldst thou recall to my heart, papeeha,
Dreams of delight that are gone,
When swift to my side came the feet of my lover
With stars of the dusk and the dawn?
I see the soft wings of the clouds on the river,
And jewelled with raindrops the mango-leaves quiver,
And tender boughs flower on the plain.....
But what is their beauty to me, papeeha,
Beauty of blossom and shower, papeeha,
That brings not my lover again?
Tell me no more of thy love, papeeha,
Wouldst thou revive in my heart, papeeha
Grief for the joy that is gone?
I hear the bright peacock in glimmering woodlands
Cry to its mate in the dawn;
I hear the black koel's slow, tremulous wooing,
And sweet in the gardens the calling and cooing
Of passionate bulbul and dove....
But what is their music to me, papeeha
Songs of their laughter and love, papeeha,
To me, forsaken of love?"
1,A Rajput Love Song,"(Parvati at her lattice)
O Love! were you a basil-wreath to twine
among my tresses,
A jewelled clasp of shining gold to bind around my sleeve,
O Love! were you the keora's soul that haunts
my silken raiment,
A bright, vermilion tassel in the girdles that I weave;

O Love! were you the scented fan
that lies upon my pillow,
A sandal lute, or silver lamp that burns before my shrine,
Why should I fear the jealous dawn
that spreads with cruel laughter,
Sad veils of separation between your face and mine?

Haste, O wild-bee hours, to the gardens of the sun set!
Fly, wild-parrot day, to the orchards of the west!
Come, O tender night, with your sweet,
consoling darkness,
And bring me my Beloved to the shelter of my breast!

(Amar Singh in the saddle)
O Love! were you the hooded hawk upon my hand
that flutters,
Its collar-band of gleaming bells atinkle as I ride,
O Love! were you a turban-spray or
floating heron-feather,
The radiant, swift, unconquered sword
that swingeth at my side;

O Love! were you a shield against the
arrows of my foemen,
An amulet of jade against the perils of the way,
How should the drum-beats of the dawn
divide me from your bosom,
Or the union of the midnight be ended with the day?

Haste, O wild-deer hours, to the meadows of the sunset!
Fly, wild stallion day, to the pastures of the west!
Come, O tranquil night, with your soft,
consenting darkness,
And bear me to the fragrance of my Beloved's breast!"
2,Alabaster,"Like this alabaster box whose art
Is frail as a cassia-flower, is my heart,
Carven with delicate dreams and wrought
With many a subtle and exquisite thought.


Therein I treasure the spice and scent
Of rich and passionate memories blent
Like odours of cinnamon, sandal and clove,
Of song and sorrow and life and love.
"
3,An Indian Love Song,"He

Lift up the veils that darken the delicate moon
of thy glory and grace,
Withhold not, O love, from the night
of my longing the joy of thy luminous face,
Give me a spear of the scented keora
guarding thy pinioned curls,
Or a silken thread from the fringes
that trouble the dream of thy glimmering pearls;
Faint grows my soul with thy tresses' perfume
and the song of thy anklets' caprice,
Revive me, I pray, with the magical nectar
that dwells in the flower of thy kiss.

She

How shall I yield to the voice of thy pleading,
how shall I grant thy prayer,
Or give thee a rose-red silken tassel,
a scented leaf from my hair?
Or fling in the flame of thy heart's desire the veils that cover my face,
Profane the law of my father's creed for a foe
of my father's race?
Thy kinsmen have broken our sacred altars and slaughtered our sacred kine,
The feud of old faiths and the blood of old battles sever thy people and mine.

He

What are the sins of my race, Beloved,
what are my people to thee?
And what are thy shrines, and kine and kindred,
what are thy gods to me?
Love recks not of feuds and bitter follies,
of stranger, comrade or kin,
Alike in his ear sound the temple bells
and the cry of the muezzin.
For Love shall cancel the ancient wrong
and conquer the ancient rage,
Redeem with his tears the memoried sorrow
that sullied a bygone age."
4,An Indian Love Song,"He

Lift up the veils that darken the delicate moon
of thy glory and grace,
Withhold not, O love, from the night
of my longing the joy of thy luminous face,
Give me a spear of the scented keora
guarding thy pinioned curls,
Or a silken thread from the fringes
that trouble the dream of thy glimmering pearls;
Faint grows my soul with thy tresses' perfume
and the song of thy anklets' caprice,
Revive me, I pray, with the magical nectar
that dwells in the flower of thy kiss.

She

How shall I yield to the voice of thy pleading,
how shall I grant thy prayer,
Or give thee a rose-red silken tassel,
a scented leaf from my hair?
Or fling in the flame of thy heart's desire the veils that cover my face,
Profane the law of my father's creed for a foe
of my father's race?
Thy kinsmen have broken our sacred altars and slaughtered our sacred kine,
The feud of old faiths and the blood of old battles sever thy people and mine.

He

What are the sins of my race, Beloved,
what are my people to thee?
And what are thy shrines, and kine and kindred,
what are thy gods to me?
Love recks not of feuds and bitter follies,
of stranger, comrade or kin,
Alike in his ear sound the temple bells
and the cry of the muezzin.
For Love shall cancel the ancient wrong
and conquer the ancient rage,
Redeem with his tears the memoried sorrow
that sullied a bygone age."
5,Autumn Song,"Like a joy on the heart of a sorrow,
   The sunset hangs on a cloud;
A golden storm of glittering sheaves,
Of fair and frail and fluttering leaves,
   The wild wind blows in a cloud.

Hark to a voice that is calling
   To my heart in the voice of the wind:
My heart is weary and sad and alone,
For its dreams like the fluttering leaves have gone,
   And why should I stay behind?"
6,Corn Grinders,"O little mouse, why dost thou cry
While merry stars laugh in the sky?


Alas! alas! my lord is dead!
Ah, who will ease my bitter pain?
He went to seek a millet-grain
In the rich farmer's granary shed;
They caught him in a baited snare,
And slew my lover unaware:
Alas! alas! my lord is dead.


O little deer, why dost thou moan,
Hid in thy forest-bower alone?


Alas! alas! my lord is dead!
Ah! who will quiet my lament?


At fall of eventide he went
To drink beside the river-head;
A waiting hunter threw his dart,
And struck my lover through the heart.
Alas! alas! my lord is dead.


O little bride, why dost thou weep
With all the happy world asleep?


Alas! alas! my lord is dead!
Ah, who will stay these hungry tears,
Or still the want of famished years,
And crown with love my marriage-bed?
My soul burns with the quenchless fire
That lit my lover's funeral pyre:
Alas! alas! my lord is dead."
7,Coromandel Fishers,"Rise, brothers, rise; the wakening skies pray to the morning light,
The wind lies asleep in the arms of the dawn like a child that has cried all night.
Come, let us gather our nets from the shore and set our catamarans free,
To capture the leaping wealth of the tide, for we are the kings of the sea!

No longer delay, let us hasten away in the track of the sea gull's call,
The sea is our mother, the cloud is our brother, the waves are our comrades all.
What though we toss at the fall of the sun where the hand of the sea-god drives?
He who holds the storm by the hair, will hide in his breast our lives.

Sweet is the shade of the cocoanut glade, and the scent of the mango grove,
And sweet are the sands at the full o' the moon with the sound of the voices we love;
But sweeter, O brothers, the kiss of the spray and the dance of the wild foam's glee;
Row, brothers, row to the edge of the verge, where the low sky mates with the sea."
8,Cradle Song,"From groves of spice,
O'er fields of rice,
Athwart the lotus-stream,
I bring for you,
Aglint with dew
A little lovely dream.


Sweet, shut your eyes,
The wild fire-flies
Dance through the fairy neem;
From the poppy-bole
For you I stole
A little lovely dream.


Dear eyes, good-night,
In golden light
The stars around you gleam;
On you I press
With soft caress
A little lovely dream."
9,Damayante To Nala In The Hour Of Exile,"SHALT thou be conquered of a human fate
My liege, my lover, whose imperial head
Hath never bent in sorrow of defeat?
Shalt thou be vanquished, whose imperial feet
Have shattered armies and stamped empires dead?
Who shall unking thee, husband of a queen?
Wear thou thy majesty inviolate.
Earth's glories flee of human eyes unseen,
Earth's kingdoms fade to a remembered dream,
But thine henceforth shall be a power supreme,


Dazzling command and rich dominion,
The winds thy heralds and thy vassals all
The silver-belted planets and the sun.
Where'er the radiance of thy coming fall,
Shall dawn for thee her saffron footcloths spread,
Sunset her purple canopies and red,
In serried splendour, and the night unfold
Her velvet darkness wrought with starry gold
For kingly raiment, soft as cygnet-down.
My hair shall braid thy temples like a crown
Of sapphires, and my kiss upon thy brows
Like çithar-music lull thee to repose,
Till the sun yield thee homage of his light.


O king, thy kingdom who from thee can wrest?
What fate shall dare uncrown thee from this breast,
O god-born lover, whom my love doth gird
And armour with impregnable delight
Of Hope's triumphant keen flame-carven sword?"
